EventId,EventTemplate,Occurences
E1,generating core.[NUM],721
E2,iar [NUM] dear [NUM],208
E3,[NUM] floating point alignment exceptions,121
E4,[NUM] double-hummer alignment exceptions,109
E5,"CE sym [NUM], at [NUM], mask [NUM]",92
E6,"[NUM] total interrupts. 0 critical input interrupts. [NUM] microseconds total spent on critical input interrupts, [NUM] microseconds max time in a critical input interrupt.",71
E7,data TLB error interrupt,60
E8,[NUM] microseconds spent in the rbs signal handler during [NUM] calls. [NUM] microseconds was the maximum time for a single instance of a correctable ddr.,51
E9,instruction cache parity error corrected,42
E10,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=[NUM] Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
E11,ciod: generated [NUM] core files for program [*],30
E12,data storage interrupt,30
E13,"ciod: Error loading [*]: invalid or missing program image, No such file or directory",21
E14,instruction address: [NUM],21
E15,"ciod: Error loading /[*]: invalid or missing program image, Permission denied",19
E16,"[NUM] ddr errors(s) detected and corrected on rank 0, symbol [NUM], bit [NUM]",18
E17,ciod: LOGIN chdir([*]) failed: No such file or directory,18
E18,"ciod: Error loading /[*]: invalid or missing program image, Exec format error",17
E19,"ciod: Received signal [NUM], code=[NUM], errno=[NUM], address=[NUM]",16
E20,total of [NUM] ddr error(s) detected and corrected,13
E21,"Kernel detected [NUM] integer alignment exceptions ([NUM]) iar [NUM], dear [NUM] ([NUM]) iar [NUM], dear [NUM] ([NUM]) iar [NUM], dear [NUM] ([NUM]) iar [NUM], dear [NUM] ([NUM]) iar [NUM], dear [NUM] ([NUM]) iar [NUM], dear [NUM] ([NUM]) iar [NUM], dear [NUM] ([NUM]) iar [NUM], dear [NUM]",9
E22,Lustre mount FAILED : bglio[NUM] : point /p/gb1,9
E23,"Node card VPD check: U[NUM] node in processor card slot J[NUM] do not match. VPD ecid [NUM], found [NUM]",9
E24,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to [IP]:[NUM]: Link has been severed,9
E25,"ciod: Error reading message prefix on CioStream socket to [IP]:[NUM], Link has been severed",8
E26,data address: [NUM],8
