EventId,EventTemplate,Occurences
E1,BLOCK* NameSystem.addStoredBlock: blockMap updated: [IP]:[NUM] is added to blk_[NUM] size [NUM],314
E7,PacketResponder [NUM] for block blk_[NUM] terminating,311
E8,Received block blk_[NUM] of size [NUM] from /[IP],292
E10,Receiving block blk_[NUM] src: /[IP]:[NUM] dest: /[IP]:[NUM],292
E6,Deleting block blk_[NUM] file /[*]/blk_[NUM],263
E3,BLOCK* NameSystem.delete: blk_[NUM] is added to invalidSet of [IP]:[NUM],224
E2,BLOCK* NameSystem.allocateBlock: /[*]/part-[NUM]. blk_[NUM],115
E12,[IP]:[NUM] Served block blk_[NUM] to /[IP],80
E14,[IP]:[NUM]:Got exception while serving blk_[NUM] to /[IP]:,80
E11,Verification succeeded for blk_[NUM],20
E4,BLOCK* ask [IP]:[NUM] to delete  blk_[NUM][*],5
E9,Received block blk_[NUM] src: /[IP]:[NUM] dest: /[IP]:[NUM] of size [NUM],2
E5,BLOCK* ask [IP]:[NUM] to replicate blk_[NUM] to datanode(s) [IP]:[NUM],1
E13,[IP]:[NUM] Starting thread to transfer block blk_[NUM] to [IP]:[NUM],1
