EventId,EventTemplate,Occurences
E1,ClusterFileSystem: ServerFileSystem domain [*] is no longer served by node node-[NUM],36
E2,ClusterFileSystem: There is no server for ServerFileSystem domain storage[NUM],32
E3,Command has been aborted,1
E4,Command has completed successfully,10
E5,Component State Change: Component [*] is in the unavailable state (HWID=[NUM]),12
E6,Failed subcommands [NUM],1
E7,Fan speeds ( [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] ),11
E8,Fan speeds ( [NUM] [NUM] [NUM] **** [NUM] [NUM] ),79
E9,Link error,13
E10,Link error on broadcast tree Interconnect-[*]:[NUM]:[NUM]:[NUM],4
E11,Link in reset,9
E12,Link ok,13
E13,Linkerror event interval expired,394
E14,NIFF: node node-[NUM] detected [NUM] failed network connection on network [IP] via interface alt0,2
E15,NIFF: node node-[NUM] has detected an available network connection on network [IP] via interface alt0,44
E16,NIFF: node node-[NUM] has detected an available network connection on network [IP] via interface ee0,45
E17,NIFF: node node-[NUM] has detected an available network connection on network [IP] via interface scip0,2
E18,ServerFileSystem: An ServerFileSystem domain panic has occurred on [*],1
E19,ServerFileSystem: ServerFileSystem domain [+]_[+] is full,12
E20,Targeting domains:node-D[NUM] and nodes:node-[[NUM]-[NUM]] child of command [NUM],5
E21,Targeting domains:node-D[*]and nodes:node-[[*]],4
E22,Temperature ([NUM]) exceeds warning threshold,2
E23,not-responding,293
E24,ambient=[NUM],
E25,clusterAddMember  (command [NUM]),
E26,risBoot  (command [NUM]),
E27,bootGenvmunix  (command [NUM]),141
E28,boot  (command [NUM]),
E29,wait  (command [NUM]),
E30,halt  (command [NUM]),
E31,active,5
E32,blocked,15
E33,boot (command [NUM]) Error: HALT asserted\  cannot continue,1
E34,closing,1
E35,configured out,91
E36,critical,20
E37,inconsistent nodesets node-[NUM] [NUM] <ok> node-[NUM] [NUM] <ok> node-[NUM] [NUM] <ok> node-[NUM] [NUM] <ok>[*],4
E38,link errors remain current,56
E39,normal,206
E40,not responding,60
E41,power/control problem,1
E42,psu failure\ ambient=[NUM],5
E43,risBoot (command [NUM]) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
E44,running,162
E45,starting,1
E46,warning,205
