EventId,EventTemplate,Occurences
E1,connection from [IP] ([*]) at [*] [*] [NUM] [NUM]:[NUM]:[NUM] [NUM],909
E2,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=[*]  user=root,351
E3,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=[*],117
E4,check pass; user unknown,117
E5,ALERT exited abnormally with [1],43
E6,session closed for user cyrus,43
E7,session closed for user news,43
E8,session opened for user cyrus by (uid=0),43
E9,session opened for user news by (uid=0),43
E10,session closed for user test,36
E11,session opened for user test by (uid=509),36
E12,Kerberos authentication failed,23
E13,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=[IP]  user=guest,17
E14,notify question section contains no SOA,16
E15,Authentication failed from [IP] ([IP]): Software caused connection abort,15
E16,Authentication failed from [IP] ([IP]): Permission denied in replay cache code,8
E17,restart.,7
E18,cupsd shutdown succeeded,6
E19,cupsd startup succeeded,6
E20,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=[IP]  user=test,4
E21,creating device node '/udev/[*]',4
E22,getpeername (ftpd): Transport endpoint is not connected,4
E23,removing device node '/udev/[*]',4
E24,BIOS-e820: [NUM] - [NUM] (reserved),3
E25,gethostbyname error for [*],2
E26,"ANONYMOUS FTP LOGIN FROM [IP],  (anonymous)",2
E27,BIOS-e820: [NUM] - [NUM] (usable),2
E28,warning: can't get client address: Connection reset by peer,2
E29,"Dentry cache hash table entries: [NUM] (order: [NUM], [NUM] bytes)",1
E30,"Inode-cache hash table entries: [NUM] (order: [NUM], [NUM] bytes)",1
E31,"Mount-cache hash table entries: [NUM] (order: [NUM], [NUM] bytes)",1
E32,authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,1
E33,*** info [mice.c([NUM])]:,1
E34,ACPI disabled because your bios is from [NUM] and too old,1
E35,ACPI: ACPI tables contain no PCI IRQ routing entries,1
E36,ACPI: Interpreter disabled.,1
E37,ACPI: Subsystem revision [NUM],1
E38,BIOS-provided physical RAM map:,1
E39,Bringing up loopback interface:  succeeded,1
E40,Built [NUM] zonelists,1
E41,"CPU [NUM] irqstacks, hard=[NUM] soft=[NUM]",1
E42,CPU: Intel Pentium III (Coppermine) stepping [NUM],1
E43,"CPU: L1 I cache: [*], L1 D cache: [*]",1
E44,CPU: L2 cache: [*],1
E45,Calibrating delay loop... [NUM].[NUM] BogoMIPS,1
E46,Capability LSM initialized,1
E47,Checking 'hlt' instruction... OK.,1
E48,Console: colour VGA+ [*],1
E49,Couldn't authenticate user,1
E50,"DMA zone: [NUM] pages, LIFO batch:[NUM]",1
E51,DMI [NUM].[NUM] present.,1
E52,PID hash table entries: 512 (order [NUM]: [NUM] bytes),1
E53,"Dquot-cache hash table entries: [NUM] (order [NUM], [NUM] bytes)",1
E54,Detected [NUM].[NUM] MHz processor.,1
E55,Enabling fast FPU save and restore... done.,1
E56,Enabling unmasked SIMD FPU exception support... done.,1
E57,Failure registering capabilities with the kernel,1
E58,HCI daemon ver [NUM].[NUM] started,1
E59,"HighMem zone: [NUM] pages, LIFO batch:[NUM]",1
E60,Initializing CPU#[NUM],1
E61,Initializing Cryptographic API,1
E62,Initializing random number generator:  succeeded,1
E63,Intel machine check architecture supported.,1
E64,Intel machine check reporting enabled on CPU#[NUM].,1
E65,Kernel command line: ro root=LABEL=/ rhgb quiet,1
E66,Linux Plug and Play Support v[NUM].[NUM] (c) Adam Belay,1
E67,Linux version [NUM].[NUM].[NUM][NUM].[NUM] (bhcompile@bugs.build.redhat.com) (gcc version [NUM].[NUM].[NUM] [NUM] (Red Hat Linux [NUM].[NUM].[NUM][NUM])) #[NUM] [*] [*] [NUM] [NUM]:[NUM]:[NUM] EDT [NUM],1
E68,"Memory: [*] available ([*] kernel code, [*] reserved, [*] data, [*] init, [*] highmem)",1
E69,NET: Registered protocol family [NUM],1
E70,"Normal zone: [NUM] pages, LIFO batch:[NUM]",1
E71,On node [NUM] totalpages: [NUM],1
E72,PCI: Invalid ACPI-PCI IRQ routing table,1
E73,"PCI: PCI BIOS revision [NUM].[NUM] entry at [NUM], last bus=[NUM]",1
E74,PCI: Probing PCI hardware,1
E75,PCI: Probing PCI hardware (bus [NUM]),1
E76,PCI: Using IRQ router PIIX/ICH [[NUM]/[NUM]] at [*],1
E77,PCI: Using configuration type [NUM],1
E78,POSIX conformance testing by UNIFIX,1
E79,ROOT LOGIN ON tty2,1
E80,Received SNMP packet(s) from [IP],1
E81,SELinux:  Initializing.,1
E82,SELinux:  Registering netfilter hooks,1
E83,SELinux:  Starting in permissive mode,1
E84,Security Scaffold v[NUM].[NUM].[NUM] initialized,1
E85,Setting network parameters:  succeeded,1
E86,Starting pcmcia:  succeeded,1
E87,"There is already a security framework initialized, register_security failed.",1
E88,"Total HugeTLB memory allocated, [NUM]",1
E89,Transparent bridge - [*],1
E90,User unknown timed out after [NUM] seconds at [*] [*] [NUM] [NUM]:[NUM]:[NUM] [NUM],1
E91,Using tsc for high-res timesource,1
E92,VFS: Disk quotas dquot_[NUM].[NUM].[NUM],1
E93,Version [NUM].[NUM].[NUM] Starting,1
E94,You can enable it with acpi=force,1
E95,[NUM]MB HIGHMEM available.,1
E96,[NUM]MB LOWMEM available.,1
E97,syslogd startup succeeded,1
E98,klogd startup succeeded,1
E99,irqbalance startup succeeded,1
E100,portmap startup succeeded,1
E101,rpc.statd startup succeeded,1
E102,hcid startup succeeded,1
E103,rpc.idmapd startup succeeded,1
E104,imps2: Auto-detected intellimouse PS/[NUM],1
E105,apm: BIOS version [NUM].[NUM] Flags [NUM] (Driver version [*]),1
E106,audit([NUM].[NUM]:[NUM]): initialized,1
E107,audit: initializing netlink socket (disabled),1
E108,isapnp: Scanning for PnP cards...,1
E109,kernel.core_uses_pid = [NUM],1
E110,"klogd [NUM].[NUM].[NUM], log source = /proc/kmsg started.",1
E111,mapped 4G/4G trampoline to [NUM].,1
E112,mtrr: v[NUM].[NUM] ([NUM]),1
E113,pci_hotplug: PCI Hot Plug PCI Core version: [NUM].[NUM],1
E114,sdpd v[NUM].[NUM] started,1
E115,sdpd startup succeeded,1
E116,selinux_register_security:  Registering secondary module capability,1
E117,session closed for user root,1
