EventId,EventTemplate,Occurences
E1,"com.apple.[*]: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for [NUM] seconds.  Ignoring.",166
E2,Cocoa scripting error for '[NUM]': four character codes must be four characters long.,71
E3,AppleCamIn::systemWakeCall - messageType = [NUM],56
E4,dnssd_clientstub ConnectToServer: connect()-> No of tries: [NUM],44
E5,Thermal pressure state: [NUM] Memory pressure state: [NUM],39
E6,IOThunderboltSwitch<[NUM]>([NUM])::listenerCallback - Thunderbolt HPD packet for route = [NUM] port = [NUM] unplug = [NUM],36
E7,"CCFile::captureLogRun Skipping current file Dir file [[NUM]-[NUM]-[NUM]_[NUM],[NUM],[NUM].[NUM]]-[*], Current File [[NUM]-[NUM]-[NUM]_[NUM],[NUM],[NUM].[NUM]]-[*]",31
E8,Sandbox: [*]([NUM]) deny([NUM]) network-outbound /private/var/run/mDNSResponder,29
E9,[*]([NUM]) deny network-outbound /private/var/run/mDNSResponder,29
E10,ARPT: [NUM].[NUM]: wl0: MDNS: IPV6 Addr: [NUM][*][NUM],28
E11,send_datagram_available_ping: pid [NUM] failed to act on a ping it dequeued before timing out.,26
E12,[[NUM]:[NUM]:[NUM].[NUM]] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
E13,AppleThunderboltGenericHAL::earlyWake - complete - took [NUM] milliseconds,22
E14,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
E15,"CCFile::copyFile fileName is [[NUM]-[NUM]-[NUM]_[NUM],[NUM],[NUM].[NUM]]-[*], source path:/var/log/CoreCapture/com.apple.[*], dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.[*]",21
E16,"CCFile::captureLog Received Capture notice id: [NUM].[NUM], reason = [*]:sts:[NUM]_rsn:[NUM]",20
E17,AppleCamIn::wakeEventHandlerThread,20
E18,en0: channel changed to [*],20
E19,Location icon should now be in state 'Inactive',20
E20,button report: [NUM],20
E21,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: [NUM]>.,20
E22,tcp_connection_handle_connect_conditions_bad [NUM] failed: [NUM] - No network route,18
E23,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
E24,FA||Url||taskID[[NUM]] dealloc,17
E25,CCFile::captureLog,17
E26,"NETWORK: requery, [NUM], [NUM], [NUM], [NUM], [NUM], items, fQueryRetries, [NUM], fLastRetryTimestamp, [NUM].[NUM]",17
E27,ARPT: [NUM].[NUM]: AirPort_[*]::powerChange: System Sleep,17
E28,Location icon should now be in state 'Active',17
E29,ARPT: [NUM].[NUM]: AirPort_[*]::platformWoWEnable: WWEN[disable],16
E30,en0: BSSID changed to [*],16
E31,__[NUM]-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value [NUM],16
E32,AppleCamIn::handleWakeEvent_gated,15
E33,"Path not allowed in target domain: type = pid, path = [*] error = [NUM]: The specified service did not ship in the requestor's bundle, origin = [*]",15
E34,Received Capture Event,15
E35,[*]::prePCIWake - power up complete - took [NUM] us,15
E36,Previous sleep cause: [NUM],15
E37,[*]::setAwdlAutoMode Resuming AWDL,15
E38,nw_[*]_post_new_ifstate successfully changed NAT64 ifstate from [NUM] to [NUM],15
E39,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=[NUM] (null)/(null) opts=(null) when=[*] confidence=[NUM] from=(null)/(null) (UABestAppSuggestionManager.m #[NUM]),14
E40,[*]::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
E41,KeychainGetICDPStatus: keychain: [NUM],14
