EventId,EventTemplate,Occurences
E1,[*]:[NUM] open through proxy [*]:[NUM] HTTPS,954
E2,"[*]:[NUM] close, [NUM] bytes sent, [NUM] bytes received, lifetime [*]",355
E3,"[*]:[NUM] close, [NUM] bytes ([*]) sent, [NUM] bytes ([*]) received, lifetime [*]",303
E4,"[*]:[NUM] close, [NUM] bytes sent, [NUM] bytes ([*]) received, lifetime [*]",168
E5,"[*]:[NUM] close, [NUM] bytes ([*]) sent, [NUM] bytes received, lifetime [*]",121
E6,[*]:[NUM] error : A connection request was canceled before the completion.,31
E7,[*]:[NUM] error : Could not connect to proxy [*]:[NUM] - connection attempt failed with error [NUM],26
E8,[*]:[NUM] error : Could not connect to proxy [*]:[NUM] - Could not resolve [*] error [NUM],20
E9,"[*]:[NUM] error : Could not connect through proxy [*]:[NUM] - Proxy server cannot establish a connection with the target, status code [NUM]",17
E10,[*]:[NUM] error : Could not connect through proxy [*]:[NUM] - Proxy closed the connection unexpectedly.,3
E11,[*]:[NUM] open through proxy [*]:[NUM] SOCKS5,2
