EventId,EventTemplate,Occurences
E1,data_thread() got not answer from any [Thunderbird_[*]] datasource,819
E2,"synchronized to [*], stratum [NUM]",568
E3,[ib_sm_sweep.c:1455]: No topology change,62
E4,[ib_sm_sweep.c:1482]: No configuration change required,62
E5,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,62
E6,Warning: we failed to resolve data source name [*],34
E7,session closed for user root,24
E8,session opened for user root by (uid=0),19
E9,Reading included configuration file: [*] [file=[*]] [line=[NUM]],17
E10,removing [*],16
E11,DHCPDISCOVER from [*] via eth1: network A_net: no free leases,15
E12,(root) CMD (run-parts /etc/cron.hourly),14
E13,"PCI interrupt [*] -> GSI [NUM] (level, low) -> IRQ [NUM]",11
E14,PCI Interrupt Routing Table [[*]],10
E15,"[*]: from=root, size=[NUM], class=[NUM], nrcpts=[NUM], msgid=<[*]>, relay=#[NUM]#@localhost",10
E16,"[*]: to=root, ctladdr=root (0/0), delay=[NUM]:[NUM]:[NUM], xdelay=[NUM]:[NUM]:[NUM], mailer=relay, pri=[NUM], relay=[[IP]] [[IP]], dsn=[NUM].[NUM].[NUM], stat=Deferred: Connection refused by [[IP]]",10
E17,unable to qualify my own domain name ([*]) -- using short name,10
E18,DHCPREQUEST for [IP] ([IP]) from [*] via eth1: unknown lease [IP].,9
E19,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time [NUM] when last update time is [NUM] (minimum one second step),8
E20,[*] (v001 DELL PE BKC [NUM] MSFT [NUM]) @ [NUM],7
E21,Wait for ready failed before probe !,6
E22,(root) CMD (/projects/tbird/temps/get_temps [*]),5
E23,DHCPDISCOVER from [*] via eth1,5
E24,DHCPOFFER on [IP] to [*] via eth1,5
E25,My unqualified host name ([*]) unknown; sleeping for retry,5
E26,Physical Processor ID: [NUM],5
E27,Registered protocol family [NUM],5
E28,"Trace cache: [*] uops, L1 D cache: [*]",5
E29,L2 cache: [NUM]K,5
E30,(C) [NUM]-[NUM] Netfilter core team,4
E31,LAPIC (acpi_id[[NUM]] lapic_id[[NUM]] enabled),4
E32,LAPIC_NMI (acpi_id[[NUM]] high edge lint[[NUM]]),4
E33,Processor [CPU[NUM]] (supports C1),4
E34,DHCPACK on [IP] to [*] via eth1,3
E35,DHCPREQUEST for [IP] ([IP]) from [*] via eth1,3
E36,IOAPIC (id[[NUM]] address[[NUM]] gsi_base[[NUM]]),3
E37,IRQ[NUM] used by override.,3
E38,Local disconnected: Connection closed.,3
E39,RRD_update (/var/lib/ganglia/rrds/[*].rrd): illegal attempt to update using time [NUM] when last update time is [NUM] (minimum one second step),3
E40,"apic_id [NUM], version [NUM], address [NUM], GSI [NUM][NUM]",3
E41,connection lost: 'Connection closed.',3
E42,mounted filesystem with ordered data mode.,3
E43,[*] (Release Date: [*] [NUM]),2
